product_id,product_type,sentiment,sentiment_ratio,summary
5025668,아욱된장국,negative,14,이 제품은 맛이 좋지만 양이 적고 위생 관리가 부족해 머리카락이 발견됩니다.
5025668,아욱된장국,positive,86,"이 제품은 맛이 좋아서 많은 고객들이 자주 구매합니다. 양과 맛이 만족스럽고, 건더기와 짠맛이 적당하여 좋고, 간이 적절하며 냉장이 마음에 드는 제품입니다."
5030967,김치콩나물국,negative,14,"이 제품은 맛이 부실하고 국물이 탁한 문제가 있으며, 냉장 제품은 콩나물이 질겨서 맛이 떨어집니다."
5030967,김치콩나물국,positive,84,"이 제품은 가격대 비 만족스럽게 느껴지는 편리한 제품입니다. 가족 모두가 즐길 수 있는 양이 푸짐하고, 맛은 적당히 매콤하면서 시원한 김치 맛이 좋습니다."
5031054,토종 순대국,negative,18,"이 제품은 가격이 저렴한 편이지만 냄새가 나서 불편하고 맛이 떨어진다는 문제가 있습니다. 또한, 냉동 후에도 먹을 수 있는지 알려주지 않고 배송 시간도 알려주지 않는다는 불만이 있습니다."
5031054,토종 순대국,positive,78,"이 제품은 양과 맛이 좋으며, 국물이 깔끔하고 머릿고기가 푸짐하게 들어가 있습니다. 또한, 개별 포장되어 위생적이고 한 끼 먹으면 든든하며, 냄새가 없고 소화하기 좋습니다."
5037568,진한 육개장,negative,6,"이 제품은 만족스럽지 않으며, 양도 적고 맛도 별로인 것으로 보입니다. 가격이 저렴해 보였지만 실제로는 그렇지 않았고, 다시 사는 의사는 없을 것 같다는 의견이 있습니다."
5037568,진한 육개장,positive,90,"이 제품은 맛이 진하고 건더기가 풍부한 육개장으로, 매우 만족스러운 제품입니다. 건더기가 많고 맛이 좋으며, 냉장으로 냉동 후에도 식감이 좋습니다. 또한, 간단한 조리 방법으로 편리하고 양도 충분하여 가족 모두에게 적합합니다."
5042765,차돌 된장찌개,negative,26,"이 제품은 가격이 비싼 편이고 맛도 별로며, 플라스틱 맛이 나서 가족들이 먹지 못하고 식감도 이상하고 고기는 질겨서 먹기가 힘들며 내용물도 부실합니다."
5042765,차돌 된장찌개,positive,68,"이 제품은 맛과 양이 많아 만족스럽고, 집에서 간편하게 먹을 수 있어 편리합니다."
5044657,온달 육개장,negative,16,이 제품은 맛이 부실하고 건더기가 적으며 후추가 너무 강하다는 불만이 많습니다.
5044657,온달 육개장,positive,78,"이 제품은 맛과 양이 적당한 편이며, 고기가 푸짐하고 맛있다는 평이 많습니다. 또한, 국물이 맑고 칼칼한 맛이 좋으며 야채를 더 추가하면 더 맛있게 먹을 수 있다는 팁이 있습니다. 할인 기간에 구매한 고객님들은 추가 구매를 하셨다는 의견이 많고, 배송도 빠르다는 평이 있습니다."
5049304,설렁탕,negative,6,"이 제품은 맛이 별로했고, 냄새가 나서 불만족스러운 경험이 있다고 하네요."
5049304,설렁탕,positive,92,"이 제품은 고객들의 평이 매우 좋습니다. 아이들이 먹기 좋고 싱거운 맛, 건강한 맛을 좋아하시는 분들에게 추천드릴만한 제품입니다. 고객님들은 밥을 말아 먹었을 때도 맛있다고 하며, 한 끼 식사로 딱이어서 좋다고 하십니다. 또한, 곰탕보다는 더 맛있다고 하며, 배송이 빨라서 좋다고 하십니다. 고기는 많고 얇지 않고 국물도 좋다는 의견이 많습니다. 고객님들은 이 제품을 자주 구매하시는 분들이 많습니다."
5095132,고래사 매콤 어묵탕,negative,18,"이 제품은 가격이 비싸고 어묵이 크고 양이 적다는 단점이 있으며, 매콤한 맛이 기대와 달랐다고 합니다."
5095132,고래사 매콤 어묵탕,positive,76,"이 제품은 맛있는 어묵탕을 제공하는 제품입니다. 칼칼하고 매콤한 국물과 어묵, 야채가 잘 어울려서 맛있게 먹을 수 있습니다. 어묵을 자르면 생각보다 많아져서 충분히 먹을 수 있습니다."
1000341457,맑은 순대국,negative,2,이 제품은 냄새가 심하고 양이 적다는 문제가 많습니다.
1000341457,맑은 순대국,positive,98,"이 제품은 가격대에 비해 만족스러운 제품으로, 토핑이 풍부하여 맛있다고 평이 많아요. 집에서 간편하게 끓여 먹을 수 있어 편리하고 양도 푸짐하여 가족 모두에게 적합해요."
1000431398,우차돌짬뽕탕,negative,8,이 제품은 국물 맛이 좋지만 기름기가 많고 건더기가 적다는 단점이 있습니다.
1000431398,우차돌짬뽕탕,positive,88,"이 제품은 국물이 진하고 맛있는 짬뽕 탕과 비슷한 맛을 가지고 있습니다. 내용물이 넉넉하고 한 끼로 먹기 좋으며, 매운 맛을 좋아하는 분들은 고춧가루나 캡사이신을 추가하면 좋을 것 같습니다. 간식이나 술안주로도 적합하며, 재구매 의사가 많은 제품입니다."
